发帖用户id	科室	所属栏目	相关疾病
lycs2008	B超科	妇产	
张临峰	超声科		高尿酸血症肾病
草莓123456	CT室		血管瘤
薇薇ELY9			
丽美天使	超声科	胃肠	肿瘤
半果页牙			
candyanlihua	超声科		
天马独行		心胸血管	结节性甲状腺肿
做一名超手	B超科		先兆流产
范特西_	超声科	浅表器官	腺瘤
凌微梦洁	B超科		肾盂癌
神内小陶			
山峰之巅	放射科		横纹肌肉瘤
dxy_nusirdgr	超声科		
四喜丸子FESE			
dxy_tawn6zce			
江湖郎中1122	普外科		
医友加微ZL246767			
医学生木子			黄体囊肿
IVD招聘			
tongjunying	中药房		
lyr0163	全科	中医临床	月经失调
dxy_8g46irme			
xunjiangye	彩超科	妇产	
范特西_	超声科		平滑肌肉瘤
dxy_riq9la84			甲状腺癌
xunjiangye	彩超科	妇产	
zs168	超声科	浅表器官	
nannanwqm	针灸科		
naz2005			
张临峰	超声科		血管瘤
刘亦之1972		学术新闻	阿尔茨海默病
鹅侧			股骨头坏死
正那时我			
给智慧捧场			咽炎
zs168	超声科	浅表器官	腺瘤
dxy_62h05jy3			
cmuey1		中医临床	
sunshiyudayu	功能检查科		
dxy_1sfkly6r			桥本甲状腺炎
金刚狼-1981	肿瘤科	介入	肝癌
dxy_i5jk4z14			
f20317		学术新闻	
驹同学	康复科	中医科普	面神经麻痹
fayuan_guo		科研教育	股骨头坏死
黄帝密码2000		经典研读	
曾经错过	中医科		麻风
lyr0163	全科	民族医药	特发性血小板减少性紫癜
黄帝密码2000		经典研读	
人人贴		中医人文	毒蛇咬伤中毒
王博18310080073	未知		骨赘
dxy_6gi3gooq		中医临床	直肠前突
医生阿耀			单纯性雀斑样痣
zs168	超声科	浅表器官	皮脂腺囊肿
河南国医研究院		中药天地	心脏病
njk81	急诊科	方药纵横	淋病
蓝色樱桃			
honeylws			贫血
dxy_9pdapz40			
dxy_up8fd5n3		方药纵横	心脑血管疾病
河南国医研究院		中药天地	麻风
dxy_hdd982b8		科研教育	牙痛
執著		中医科普	普通感冒
f20317		中医科普	
dxy_gwexbfi4	影像科		动脉瘤
河南国医研究院		中药天地	疟疾
游客2000	中医内科	中药天地	
f20317		中医科普	
纯净水1234560	心血管内科	经典研读	伤寒
益火之源以消阴翳			
企鹅18610528125		方药纵横	
lyr0163	全科	民族医药	肿瘤
四圣心源2000			
河南国医研究院		中药天地	冠心病
河南国医研究院		中药天地	
_House			乳腺增生
人人贴		中医人文	食管癌
lyr0163	全科	方药纵横	眩晕
dxy_stjazekr		中医人文	黄疸
wangyy1990		中药天地	
河南国医研究院		中药天地	疣
扁桃体文献研究室			扁桃体炎
czy14759155916			
刘琦1955	中医内科		牛痘
韧逸	中医内科	中医科普	
连城山下	功能检查科	交流	
河南国医研究院		中药天地	
闯一代路在何方			
黄帝密码2000		经典研读	伤寒
韧逸	中医内科	中医人文	
f20317		中医人文	
z466758114			
刘亦之-1977		科研教育	
刘亦之-1977		中医科普	扁桃体炎
suannai78	中医内科	中医临床	普通感冒
f20317		经典研读	
半果页牙			亚急性甲状腺炎
sibin001			便秘
crowncheng		学术新闻	
dxy_clb7lcvq		中医临床	
黑旋风小刀	骨科	中医人文	乳腺癌
dxy_1anolk16	中西医结合科		
河南国医研究院		中药天地	黄疸
刘亦之1972		版务互动	牛痘
奔奔跑	消化内科		股骨头坏死
old楚天阔			伤寒
快乐的乞丐	西药房		
dxy_hdd982b8		科研教育	早孕反应
嘉嘉宝贝TM6K	产科		绝经
东阿制造		民族医药	
花花J534		中医临床	
ljsh	重症医学科		失眠
dxy_hdd982b8		科研教育	脓毒症
dxy_hdd982b8		科研教育	糖尿病
李易桐6			
中医世家丶		中医科普	耳鸣
花花J534		中医临床	
dxy_k73o3la9		中药天地	
crowncheng		学术新闻	谵妄
单边桌			
单边桌			
小熊e梦			
刘亦之-1977		学术新闻	
lauseaba		中医临床	
dxy_zfd63ja			
扁凤工作室		中医人文	
范其	泌尿外科		
cmuey1		中医临床	
szx799788	中医内科		
fayuan_guo		科研教育	头痛
lauseaba		针推骨伤	
东阿制造		民族医药	酒精性肝病
hhyheiye	中医科		普通感冒
jianlaifu		中医科普	腹泻
名字很随便			口臭
韧逸	中医内科	经典研读	
f20317		交叉学科	
weifenghanzi	B超科		皮脂腺囊肿
dxy_uuh4684e			
花花J534		方药纵横	
hw8456685			腹泻
不知为不知是智也		中医科普	痤疮
dxy_hdd982b8		科研教育	普通感冒
dxy_hdd982b8		学术新闻	心绞痛
文章本天成		经典研读	伤寒
dxy_clb7lcvq		中医临床	便秘
wahu			便秘
大医精诚lbh	中医科	中医科普	
1169632557田			
jianlaifu		中医科普	过敏性鼻炎
dxy_hdd982b8		科研教育	
f20317		中医临床	
f20317		针推骨伤	脱发
19931226chen	妇产科		
柒五叁	中医科		闭经
河南国医研究院		中药天地	便秘
f20317		交叉学科	
dxy_dikft7we			不孕症
lzhliyaohui	呼吸科	中医临床	头痛
门静脉堵着了		交流	
dxy_hdd982b8		科研教育	肾衰竭
dxy_hdd982b8		科研教育	失眠
逃跑的番茄			
cuizhandong	普通内科		
dxy_hdd982b8		科研教育	瘫痪
dxy_kxglqwh5			牙痛
胡必江	中西医结合科	针推骨伤	头痛
黄帝密码2000		经典研读	妊娠纹
dxy_5jyjih76			
河南国医研究院		中药天地	勃起功能障碍
dxy_junjun		中药天地	失眠
田向轩			
dxy_5fedgko7	整形科		
祺雪薇薇笑			
yjsang		中医人文	流行性感冒
zdb120	彩超科		
dxy_hdd982b8		科研教育	烧伤感染
flywinder2006			
扁凤工作室		中医人文	
河南国医研究院		中药天地	结石
祺雪薇薇笑			硬皮病
0o清者自清o0			头痛
cuikangxing2		方药纵横	
简单1981	彩超科		
四圣心源2000			
我还是隔壁老王			牙周炎
GF-Career	内科		
hhyheiye	中医科		银屑病
翠清泉		经典研读	肿瘤
刘琦1955	中医内科		扁桃体炎
先贤追随者		学术新闻	
jianlaifu		中医科普	湿疹
style1989			股骨头坏死
liyang7208	检验科		
dxy_g6ovxer5			
f20317		经典研读	流行性感冒
lzhliyaohui	呼吸科	中医临床	肺炎
swedenbin		中药天地	伤寒
柒五叁	中医科		黄褐斑
文章本天成		经典研读	伤寒
dxy_hdd982b8		科研教育	全身适应综合征
张斌8184			失眠
彤晓果123			
致良知51	中医骨伤科	中医人文	
大漠驼铃声		学术新闻	流行性感冒
medrui			
jianlaifu		中医科普	胃下垂
shengxiagrace			
yl30488	口腔科		性病性淋巴肉芽肿
缘来幸福	彩超科	浅表器官	阿尔茨海默病
zhouxincan1	神经科		慢性阻塞性肺疾病
dxy_hdd982b8		科研教育	直肠前突
f20317		学术新闻	
zheng_kevin			
刘晓筱同学			伤寒
fengkeke11	中医骨伤科		失眠
范特西_	超声科	妇产	畸胎瘤
f20317		中药天地	
f20317		交叉学科	
dxy_tjj7xbp			
河南国医研究院		中药天地	糖尿病
hhyheiye	中医科		
dxy_hdd982b8		科研教育	
Orthodontist-Yu	正畸科		
seven13	超声科		
半果页牙			裂缝舌
dxy_hdd982b8		科研教育	昏迷
hhyheiye	中医科		伤寒
柒五叁	中医科		伤寒
小玉竹林儿	内科		鼻炎
dxy_hdd982b8		科研教育	胎盘早剥
dxy_hdd982b8		科研教育	类风湿关节炎
dxy_s3gekvkr		中医临床	
dxy_junjun		中医临床	癫痫
crowncheng		学术新闻	
dxy_hdd982b8		科研教育	二尖瓣狭窄
河南国医研究院		中药天地	脚气
f20317		交叉学科	
f20317		经典研读	
songjunrui	彩超科	腹部	血尿
安徽丑货	消化内科	中医人文	
執著		针推骨伤	便秘
nowisall	小儿内科	中医临床	遗尿症
dxy_hdd982b8		科研教育	
xiamadidi	皮肤科		
洪雅权志龙			
lanmon66	肿瘤外科		伤寒
dxy_hdd982b8		科研教育	唐氏综合征
东阿制造		民族医药	伤寒
dxy_hdd982b8		科研教育	中暑
muyang_1985	中医科		半月板损伤
wangyy1990		中药天地	疟疾
泰山张成		科研教育	痤疮
wangyy1990		中药天地	疟疾
a363550990			肺结核
dxy_楠楠	中医五官科		
河南国医研究院		中药天地	头痛
Zero526	普通内科		胃炎
old楚天阔			
jianlaifu		中医科普	普通感冒
中内学科	中医内科		
dxy_satkd1hq			伤寒
lyla_yao0818			焦虑症
古法艾灸		中医人文	前列腺增生
hhyheiye	中医科		耳鸣
f20317		中医临床	心力衰竭
dxy_8arvjet	未知		颅脑损伤
dxy_satkd1hq			伤寒
dxy_satkd1hq			伤寒
f20317		经典研读	双相障碍
zhangqime	中医科	学术新闻	癌症
dxy_6xixj0fr			
crowncheng		方药纵横	
河南国医研究院		中药天地	头痛
crowncheng		中医临床	破伤风
zhouyujie1102			
针推菜鸟			难产
maccow2007	皮肤科	经典研读	
医浙仁新			精索静脉曲张
河南国医研究院		中药天地	单纯疱疹
中医世家丶		中医临床	耳鸣
crowncheng		中医临床	心力衰竭
河南国医研究院		中药天地	头痛
韧逸	中医内科	经典研读	
sjtusjtu		中医临床	呃逆
青葙子1UI8			伤寒
dxy_hdd982b8		科研教育	水肿
yjsang		学术新闻	头痛
为医仁术也			普通感冒
jianlaifu		中医科普	便秘
f20317		中医临床	
我又像你			
先贤追随者		经典研读	心脏病
jianlaifu		中医科普	慢性咽炎
叫皖烟的苏姑娘			直肠前突
crowncheng		中医临床	偏瘫
cmuey1		中医临床	
dxy_uyb26zo		中医临床	
f20317		中医临床	普通感冒
半果页牙			头痛
半果页牙			腹泻
dxy_mzq2slf			卒中
crowncheng		中医临床	
f20317		中药天地	
弄堂老情人			色素痣
nowisall	小儿内科	中医临床	腹泻
nowisall	小儿内科	中医临床	
dxy_db8qovbe			伤寒
四圣心源2000			伤寒
郭灿收	神经科		咽炎
jianlaifu		中医科普	腹泻
尽职的医小生			癌症
灵柩上的舞者			伤寒
致良知51	中医骨伤科		伤寒
dxy_hdd982b8		科研教育	地方性甲状腺肿
crowncheng		中医临床	普通感冒
双二社区医疗		中药天地	伤寒
河南国医研究院		中药天地	遗尿症
胡磊磊			伤寒
f20317		中医科普	
ljsh	重症医学科		
dxy_hdd982b8		科研教育	
风高秋叶白			牙周炎
中医世家丶		中医临床	神经症
dxy_bvsalgo			
Minoz_Lee			
为医仁术也			股骨头坏死
素荫		学术新闻	全身适应综合征
wangyy1990		学术新闻	盲
jianlaifu		中医科普	腹泻
dxy_hyl17qv3			
dxy_clb7lcvq		中医临床	伤寒
hhyheiye	中医科		
hhyheiye	中医科		
dxy_clb7lcvq		中医临床	伤寒
xfengwen	风湿科	经典研读	伤寒
河南国医研究院		中药天地	遗尿症
四圣心源2000			
在安KVY9			
扁凤工作室		中医人文	
河南国医研究院		中药天地	头痛
KNAKNN			痤疮
dxy_iqap0th9		科研教育	
四圣心源2000			
益火之源以消阴翳			
jxnklcr			
柒五叁	中医科		伤寒
医生大战僵尸			
crowncheng		中医临床	荨麻疹
crowncheng		中医临床	
andicle			白发
陈老医师	消化内科		食管裂孔疝
河南国医研究院		中药天地	伤寒
柒五叁	中医科		甲亢
柒五叁	中医科		普通感冒
远方-k			
hr573840392			
yjsang		学术新闻	脑梗死
半果页牙			腹泻
dxy_73ci53gq		中医临床	
assjjdejnd		中医临床	
扁桃体文献研究室			扁桃体炎
hubangqin	西药房	中医临床	慢性荨麻疹
郑宇爱医学			肿瘤
刘子豪1212		民族医药	
河南国医研究院		中药天地	卒中
玄草		针推骨伤	失眠
dxy_pb9wp7j9		中医人文	
四圣心源2000			便秘
安徽丑货	消化内科	中医临床	咽异感症
半果页牙			
河南国医研究院		中药天地	疟疾
hhyheiye	中医科		神经衰弱
河南国医研究院		中药天地	遗尿症
知而获智智达高远			乳腺纤维腺瘤 
hhyheiye	中医科		卒中
ffggwen	中医科		失眠
wangyy1990		中药天地	支气管哮喘
f20317		交叉学科	精神分裂症
cmuey1		方药纵横	
河南国医研究院		中药天地	普通感冒
sunjiafeng960	中医内科		伤寒
Zero526	普通内科		肺结核
李然GZGJ			
为医仁术也			
dxy_hdd982b8		科研教育	风湿性关节炎
dxy_clb7lcvq		中医临床	普通感冒
dxy_7q5hm6n2			肝脏外伤
雨华生			普通感冒
四圣心源2000			
香飘飘D7TA		中医人文	
swedenbin		中药天地	疝气
dxy_kvsdj4f5		方药纵横	
玄草		针推骨伤	抑郁症
dxy_hdd982b8		科研教育	静脉炎
dxy_hdd982b8		中医临床	
天蝎小张	全科		甲亢
柒五叁	中医科		
河南国医研究院		中药天地	疟疾
f20317		交叉学科	小儿心房扑动
李然GZGJ			
扁凤工作室		中医人文	
wangyy1990		学术新闻	
dxy_uc8b3ng			
dxy_1qm7pnr9		学术新闻	
f20317		中药天地	
曾经错过	中医科		颈椎病
f20317			猝死
f20317		中医临床	猝死
dxy_clb7lcvq		中医临床	便秘
crowncheng		中医临床	扁桃体炎
dxy_clb7lcvq		中医临床	鼾症
swedenbin		中药天地	普通感冒
先贤追随者		经典研读	
sincerchan		经典研读	伤寒
闻人可儿	儿科		慢性湿疹
swedenbin		中药天地	小儿感冒
f20317		中医科普	
许诺NW45		中药天地	药物性肝病
致良知51	中医骨伤科		伤寒
lihua891223	急诊科		
wangyy1990		中医人文	肿瘤
wangyy1990		中医临床	流行性感冒
陈依森	心血管内科		
nowisall	小儿内科	中医临床	
雨华生			
河南国医研究院		中药天地	绝经
swedenbin		中医临床	腹泻
致良知51	中医骨伤科		
阿呆阿呆	妇科	中医妇科	黄褐斑
刘婵科大一附院		基础护理	
论坛助手-坛坛			
柒五叁	中医科		头痛
河南国医研究院		中药天地	黄疸
old楚天阔			
zero640			卒中
白氏九针	针灸科		高血压
dxy2008tfyy			
先贤追随者		经典研读	流行性感冒
dxy_tjj7xbp			
小玉竹林儿	内科		
我是么么哈lm123		护士生活	
四圣心源2000			
mm豆一罐子	内科护理	基础护理	艾滋病
zxc01zxc01		中医人文	
dxy_clb7lcvq		中医临床	普通感冒
轩子心灵疏导			癫痫
dxy_6gi3gooq		内科护理	
空豆豆			
lemon柠檬lemon			肝性脑病
tuziwangyan		护士生活	
绵羊陈	骨科		
zmdzfx	急诊科		
dxy_doj4zvf2			普通感冒
中医世家丶		中医临床	耳鸣
f20317		中医临床	
艾灸仪器研发团队		中医临床	烫伤
Matilda1996		中医人文	
内蒙中公医疗卫生		公告	
sxh1104		求助	
漠析夜		求助	皮炎
河南国医研究院		中药天地	偏瘫
dxy_brt9q72e			
zmdzfx	急诊科		
dxy_562a15zr			失眠
zmdzfx	急诊科	护理管理	原发性高血压
海是蓝的122			
四圣心源2000			肺结核
dxy_yz56ix47			
zhangxy123	护理科	护理管理	
dxy_stjazekr		基础护理	急性肾小球肾炎
tuziwangyan		护士生活	
天天1218	内科护理		
柒五叁	中医科		支气管哮喘
f20317		中医临床	
dxy_gqs5gb9q			
时光不再嬉笑当年3JSS			
dxy_6gi3gooq		内科护理	腹胀
等不到天黑DZ1X		学术新闻	帕金森病
dxy_junjun		内科护理	肝硬化
花样女孩			
青椒510			
orange-dx			
dxy_bxjfaay3			
pickering	重症医学科		类风湿关节炎
四圣心源2000			普通感冒
动力一火锅	肾脏内科		
郑宇爱医学			盲
四圣心源2000			
激情四射		学术新闻	肺癌
dxy_qltqd3j7			
喵喵玲ling			
微笑smile2017		求助	
红樱桃9807		基础护理	
dxy_a7mfjnb5			
周湘997573			艾滋病
liwei7418			腰椎间盘突出症
爽歪歪442842210		中药天地	
dxy_t822xnmw			
ccx12315			
dxy_uk536rt8		外科护理	胰腺炎
Matilda1996		中药天地	腹痛
柒五叁	中医科		性病
乐云BWXL			
shunjian_zq	普外科	外科护理	
liuxingyu13527		护理硕博	
普雅甘草			
10215		其他专科	乳腺癌
dxy_junjun		外科护理	
河南国医研究院		中药天地	下消化道出血
玄草		针推骨伤	阿尔茨海默病
dxy_125qaex6			
cmuey1		外科护理	
zyg1411	耳鼻咽喉科	其他专科	结石
wxm守望者			
涼風			水中毒
Matilda1996		中药天地	眩晕
cmuey1		内科护理	
zmdzfx	急诊科	护理管理	
精医尚德	神经科		
dxy_stjazekr		基础护理	高血压
zmdzfx	急诊科		
沐雪苍月			
86103502dd			
doctor7474741			
dxy_e9sq2q24			
红樱桃9807		护士生活	
海绵宝宝派大星7188	心血管内科	基础护理	
Hepburn5060			
胡必江	中西医结合科	针推骨伤	
zmdzfx	急诊科	护理管理	
tuziwangyan		教学考试	
tuziwangyan		教学考试	腹泻
神麻是浮云	麻醉科	基础护理	
jin3014	血液科		
tuziwangyan		教学考试	
yj375123431yj			
dxy_z74t2yu2			
鱼护士			
tuziwangyan		基础护理	休克
月叔打怪兽		护士生活	
chuxin21			
zyj08285	儿科		
c心累l		求助	
韧逸	中医内科	中医人文	
c心累l		护理管理	
dxy_v9ov8h85			
zmdzfx	急诊科		
tuziwangyan			
晨曦X2D0			
dxy_ndbedyu5		求助	
与时俱进的人		基础护理	
致良知51	中医骨伤科		伤寒
浩特0306		基础护理	盲
Matilda1996		中医人文	结石
gaotengyousan			
你不懂的悲伤L			
浩特0306		护士生活	淋病
chris2015			
dxy_2p800o76			
WW我是谁	重症医学科		盲
红樱桃9807		护士生活	
YZLYAY0			
zmdzfx	急诊科	护理管理	
红樱桃9807		基础护理	
白玉婷			头痛
转红		基础护理	意识障碍
小赖学弟			
白玉婷			头痛
我爱蜗牛			
小墨小			
转红		基础护理	抑郁症
dxy_pxmdlxhe			冠心病
红樱桃9807		基础护理	
dxy_y8pqujv3			
风信子4290	消化内科		
zmdzfx	急诊科		
被花朵开伤	神经科	求助	盲
我爱蜗牛			
萤火虫医生			胃穿孔
zmdzfx	急诊科		
dxy_i79rvwc			
阿拉WIIG			烫伤
dxy_ve4oaxa9			
dxy_jjzizzx5			
mm豆一罐子	内科护理	基础护理	糖尿病
1213480570研究生			
xiamadidi	皮肤科		
crowncheng		经典研读	伤寒
tuziwangyan		基础护理	
考研的77	基础护理	基础护理	
tuziwangyan		教学考试	
红樱桃9807		基础护理	破伤风
dxy_2gamn7u0			
浩特0306		护士生活	
琨剑			
tuziwangyan		教学考试	
zmdzfx	急诊科	外科护理	双相障碍
zmdzfx	急诊科		
考研的77	基础护理	基础护理	尿潴留
tuziwangyan		基础护理	垂体性侏儒症
小裴中医师		经典研读	普通感冒
tuziwangyan		教学考试	
人生之帆由我掌舵			
dxy_vguf7ll8			
七朵姑娘			
tuziwangyan		基础护理	褥疮
芬芬ai猫咪		护士生活	
笙筝			
zhangxy123	护理科	护理管理	
tuziwangyan		基础护理	流行性感冒
dxy_i79rvwc			
奎桔6八卦		基础护理	
性感的驴			
zhangxy123	护理科	基础护理	
方领狼			
nucleusxyq		求助	
海绵宝宝派大星7188	心血管内科	护士生活	
红樱桃9807		基础护理	休克
爱啃玉米的鱼		基础护理	
浩特0306		基础护理	高血压
考研的77	基础护理	基础护理	流行性感冒
奎桔6八卦		护士生活	头痛
浩特0306		护士生活	麻风
dxy_qt92wh65			糖尿病
zmdzfx	急诊科	护理管理	
考研的77	基础护理	基础护理	流行性感冒
tyxh			
cmuey1		内科护理	
zmdzfx	急诊科	基础护理	
tuziwangyan		基础护理	高血压
tuziwangyan		基础护理	
红樱桃9807		基础护理	流行性感冒
dxy_yi31qg74			
娟子3TPH			
芬芬ai猫咪		基础护理	
芬芬ai猫咪		基础护理	失眠
惊声尖叫			
dxy_2e92jll	外科护理		
红樱桃9807		基础护理	破伤风
mm豆一罐子	内科护理	基础护理	猝死
海绵宝宝派大星7188	心血管内科	基础护理	腹泻
dxy_vycqua04			
晴天lyy			
zmdzfx	急诊科	基础护理	
tuziwangyan		基础护理	
一只兔头		基础护理	昏迷
A100JP2N			
海绵宝宝派大星7188	心血管内科	基础护理	糖尿病
zmdzfx	急诊科	基础护理	
双飝燕			
浩特0306		护士生活	
tuziwangyan		护士生活	
dxy_rvthu68w			
zmdzfx	急诊科		
dxy_x7x7pa97			
不是白衣的天使		基础护理	
锅包肉2333			
mm豆一罐子	内科护理	护士生活	
mm豆一罐子	内科护理	教学考试	骨软化症
Matilda1996		中医人文	便秘
曼夭倾城			
zmdzfx	急诊科	护士生活	艾滋病
医友之家		基础护理	肥胖症
yjsang		护士生活	泡型棘球蚴病
八册哎哎哎			
胡必江	中西医结合科	针推骨伤	牙痛
芬芬ai猫咪		危重护理	阵发性室上性心动过速
医友之家		基础护理	腹泻
